@relation extintores_300_registros_reordenado

@attribute tipoServicio {recarga,venta}
@attribute tipoExtintor {TIPO_K,AGUA,ABC,CO2}
@attribute cantidad numeric
@attribute diasHastaEntrega numeric
@attribute diaSemana {Jueves,Miercoles,Sabado,Viernes,Domingo,Lunes,Martes}
@attribute mes numeric
@attribute rangoMonto {Medio,Alto,Bajo}
@attribute clienteFrecuente {Si,No}
@attribute stockDisponible numeric
@attribute tipoError {sin_error,producto_no_disponible,falta_personal,retraso_entrega,falla_recarga,tipo_incorrecto,cantidad_incorrecta,error_facturacion,cancelacion_cliente}

@data
recarga,TIPO_K,1,10,Jueves,2,Medio,Si,15,sin_error
recarga,AGUA,3,18,Miercoles,9,Alto,Si,0,producto_no_disponible
recarga,ABC,3,9,Sabado,4,Medio,No,20,sin_error
recarga,ABC,1,30,Sabado,6,Alto,No,1,sin_error
recarga,TIPO_K,1,8,Viernes,7,Alto,Si,3,sin_error
recarga,ABC,2,7,Sabado,4,Medio,Si,8,sin_error
recarga,TIPO_K,1,8,Sabado,7,Medio,Si,9,sin_error
venta,TIPO_K,3,9,Domingo,12,Alto,No,8,sin_error
venta,CO2,2,9,Lunes,7,Alto,Si,10,sin_error
venta,ABC,3,10,Miercoles,9,Medio,No,8,sin_error
venta,TIPO_K,1,30,Domingo,2,Alto,Si,2,sin_error
venta,AGUA,3,1,Sabado,12,Medio,Si,10,sin_error
recarga,TIPO_K,2,7,Lunes,3,Medio,No,2,sin_error
recarga,ABC,1,2,Miercoles,10,Bajo,Si,4,sin_error
recarga,CO2,1,3,Jueves,6,Bajo,No,0,producto_no_disponible
recarga,TIPO_K,2,5,Viernes,6,Bajo,No,20,sin_error
venta,AGUA,2,20,Miercoles,5,Medio,No,1,sin_error
recarga,CO2,2,12,Sabado,8,Alto,Si,15,sin_error
recarga,AGUA,1,20,Viernes,10,Medio,Si,5,sin_error
recarga,ABC,1,2,Lunes,7,Alto,No,10,falta_personal
venta,ABC,1,12,Viernes,12,Medio,Si,6,sin_error
recarga,TIPO_K,1,2,Jueves,6,Medio,Si,4,falta_personal
venta,TIPO_K,1,7,Domingo,2,Medio,Si,2,sin_error
recarga,CO2,1,10,Viernes,2,Alto,Si,5,sin_error
venta,TIPO_K,1,15,Jueves,9,Bajo,Si,7,sin_error
venta,TIPO_K,2,15,Martes,3,Bajo,Si,3,sin_error
venta,CO2,2,1,Domingo,8,Alto,No,8,sin_error
recarga,TIPO_K,1,3,Sabado,5,Alto,No,7,sin_error
venta,CO2,1,18,Lunes,2,Bajo,Si,2,sin_error
recarga,ABC,2,1,Domingo,8,Bajo,Si,5,sin_error
recarga,CO2,1,30,Domingo,3,Bajo,No,5,retraso_entrega
venta,CO2,2,25,Martes,9,Medio,Si,3,sin_error
recarga,AGUA,1,7,Lunes,6,Medio,Si,10,sin_error
recarga,CO2,3,20,Sabado,9,Alto,Si,8,sin_error
recarga,TIPO_K,1,25,Lunes,7,Alto,Si,12,sin_error
recarga,ABC,1,8,Martes,4,Medio,Si,9,falla_recarga
venta,AGUA,1,16,Miercoles,12,Alto,Si,5,sin_error
recarga,ABC,2,3,Jueves,8,Alto,No,7,sin_error
recarga,ABC,1,25,Lunes,11,Bajo,Si,6,sin_error
recarga,ABC,1,15,Domingo,11,Alto,No,7,sin_error
venta,TIPO_K,1,25,Jueves,7,Alto,No,2,sin_error
venta,ABC,2,30,Lunes,3,Alto,No,12,sin_error
recarga,TIPO_K,1,10,Viernes,11,Bajo,Si,6,sin_error
venta,CO2,2,16,Viernes,10,Alto,Si,20,tipo_incorrecto
recarga,CO2,1,20,Miercoles,9,Bajo,Si,7,sin_error
venta,AGUA,1,30,Sabado,2,Alto,Si,6,sin_error
recarga,CO2,1,2,Martes,3,Medio,Si,20,sin_error
venta,AGUA,1,18,Miercoles,9,Alto,No,9,sin_error
recarga,ABC,1,2,Martes,3,Alto,Si,3,sin_error
venta,TIPO_K,3,3,Domingo,7,Alto,No,10,sin_error
